Date,Exchange rate
1/2/2006 0:00:00,85.52
1/3/2006 0:00:00,85.60
1/4/2006 0:00:00,85.64
1/5/2006 0:00:00,85.71
1/6/2006 0:00:00,85.73
1/9/2006 0:00:00,85.80
1/10/2006 0:00:00,85.82
1/11/2006 0:00:00,85.84
1/12/2006 0:00:00,85.84
1/13/2006 0:00:00,85.86
1/16/2006 0:00:00,85.87
1/17/2006 0:00:00,85.89
1/18/2006 0:00:00,85.90
1/19/2006 0:00:00,85.93
1/20/2006 0:00:00,85.93
1/23/2006 0:00:00,85.94
1/24/2006 0:00:00,86.02
1/25/2006 0:00:00,86.04
1/26/2006 0:00:00,86.05
1/27/2006 0:00:00,86.07
1/30/2006 0:00:00,86.07
1/31/2006 0:00:00,86.11
2/1/2006 0:00:00,86.11
2/2/2006 0:00:00,86.12
2/3/2006 0:00:00,86.16
2/6/2006 0:00:00,86.19
2/7/2006 0:00:00,86.19
2/8/2006 0:00:00,86.19
2/9/2006 0:00:00,86.22
2/10/2006 0:00:00,86.23
2/13/2006 0:00:00,86.25
2/14/2006 0:00:00,86.26
2/15/2006 0:00:00,86.27
2/16/2006 0:00:00,86.28
2/17/2006 0:00:00,86.30
2/20/2006 0:00:00,86.32
2/21/2006 0:00:00,86.34
2/22/2006 0:00:00,86.35
2/23/2006 0:00:00,86.36
2/24/2006 0:00:00,86.36
2/27/2006 0:00:00,86.37
2/28/2006 0:00:00,86.38
3/1/2006 0:00:00,86.39
3/2/2006 0:00:00,86.39
3/3/2006 0:00:00,86.40
3/6/2006 0:00:00,86.40
3/7/2006 0:00:00,86.42
3/8/2006 0:00:00,86.43
3/9/2006 0:00:00,86.43
3/10/2006 0:00:00,86.44
3/13/2006 0:00:00,86.45
3/14/2006 0:00:00,86.46
3/15/2006 0:00:00,86.46
3/16/2006 0:00:00,86.47
3/17/2006 0:00:00,86.47
3/20/2006 0:00:00,86.47
3/21/2006 0:00:00,86.48
3/22/2006 0:00:00,86.48
3/23/2006 0:00:00,86.48
3/24/2006 0:00:00,86.50
3/27/2006 0:00:00,86.50
3/28/2006 0:00:00,86.51
3/29/2006 0:00:00,86.51
3/30/2006 0:00:00,86.51
3/31/2006 0:00:00,86.51
4/3/2006 0:00:00,86.52
4/4/2006 0:00:00,86.52
4/5/2006 0:00:00,86.53
4/6/2006 0:00:00,86.53
4/7/2006 0:00:00,86.55
4/10/2006 0:00:00,86.55
4/11/2006 0:00:00,86.55
4/12/2006 0:00:00,86.56
4/13/2006 0:00:00,86.56
4/14/2006 0:00:00,86.56
4/17/2006 0:00:00,86.57
4/18/2006 0:00:00,86.57
4/19/2006 0:00:00,86.58
4/20/2006 0:00:00,86.58
4/21/2006 0:00:00,86.59
4/24/2006 0:00:00,86.60
4/25/2006 0:00:00,86.60
4/26/2006 0:00:00,86.62
4/27/2006 0:00:00,86.63
4/28/2006 0:00:00,86.64
5/1/2006 0:00:00,86.64
5/2/2006 0:00:00,86.64
5/3/2006 0:00:00,86.65
5/4/2006 0:00:00,86.66
5/5/2006 0:00:00,86.68
5/8/2006 0:00:00,86.68
5/9/2006 0:00:00,86.68
5/10/2006 0:00:00,86.69
5/11/2006 0:00:00,86.71
5/12/2006 0:00:00,86.72
5/15/2006 0:00:00,86.72
5/16/2006 0:00:00,86.73
5/17/2006 0:00:00,86.74
5/18/2006 0:00:00,86.75
5/19/2006 0:00:00,86.76
5/22/2006 0:00:00,86.76
5/23/2006 0:00:00,86.77
5/24/2006 0:00:00,86.79
5/25/2006 0:00:00,86.80
5/26/2006 0:00:00,86.80
5/29/2006 0:00:00,86.81
5/30/2006 0:00:00,86.82
5/31/2006 0:00:00,86.82
6/1/2006 0:00:00,86.82
6/2/2006 0:00:00,86.83
6/5/2006 0:00:00,86.83
6/6/2006 0:00:00,86.83
6/7/2006 0:00:00,86.83
6/8/2006 0:00:00,86.83
6/9/2006 0:00:00,86.84
6/12/2006 0:00:00,86.84
6/13/2006 0:00:00,86.84
6/14/2006 0:00:00,86.84
6/15/2006 0:00:00,86.85
6/16/2006 0:00:00,86.85
6/19/2006 0:00:00,86.86
6/20/2006 0:00:00,86.86
6/21/2006 0:00:00,86.87
6/22/2006 0:00:00,86.88
6/23/2006 0:00:00,86.88
6/26/2006 0:00:00,86.89
6/27/2006 0:00:00,86.89
6/28/2006 0:00:00,86.90
6/29/2006 0:00:00,86.90
6/30/2006 0:00:00,86.91
7/3/2006 0:00:00,86.91
7/4/2006 0:00:00,86.93
7/5/2006 0:00:00,86.95
7/6/2006 0:00:00,86.95
7/7/2006 0:00:00,86.96
7/10/2006 0:00:00,86.97
7/11/2006 0:00:00,86.98
7/12/2006 0:00:00,87.00
7/13/2006 0:00:00,87.01
7/14/2006 0:00:00,87.03
7/17/2006 0:00:00,87.04
7/18/2006 0:00:00,87.04
7/19/2006 0:00:00,87.04
7/20/2006 0:00:00,87.05
7/21/2006 0:00:00,87.06
7/24/2006 0:00:00,87.06
7/25/2006 0:00:00,87.06
7/26/2006 0:00:00,87.08
7/27/2006 0:00:00,87.08
7/28/2006 0:00:00,87.08
7/31/2006 0:00:00,87.08
8/1/2006 0:00:00,87.08
8/2/2006 0:00:00,87.08
8/3/2006 0:00:00,87.09
8/4/2006 0:00:00,87.10
8/7/2006 0:00:00,87.10
8/8/2006 0:00:00,87.10
8/9/2006 0:00:00,87.11
8/10/2006 0:00:00,87.13
8/11/2006 0:00:00,87.13
8/14/2006 0:00:00,87.13
8/15/2006 0:00:00,87.13
8/16/2006 0:00:00,87.13
8/17/2006 0:00:00,87.13
8/18/2006 0:00:00,87.15
